customer_id,name,email,country,segment,join_date
1,Customer_1,c1@mail.com,UK,Consumer,2021-06-17
2,Customer_2,c2@mail.com,DE,Consumer,2021-07-03
3,Customer_3,c3@mail.com,US,Corporate,2020-07-01
4,Customer_4,c4@mail.com,US,Consumer,2021-03-07
5,Customer_5,c5@mail.com,US,Home Office,2022-10-22
6,Customer_6,c6@mail.com,US,Corporate,2022-07-05
7,Customer_7,c7@mail.com,DE,Corporate,2022-08-26
8,Customer_8,c8@mail.com,DE,Corporate,2020-09-27
9,Customer_9,c9@mail.com,UK,Home Office,2022-03-13
10,Customer_10,c10@mail.com,UK,Corporate,2022-08-29
11,Customer_11,c11@mail.com,US,Consumer,2022-05-19
12,Customer_12,c12@mail.com,FR,Corporate,2022-09-23
13,Customer_13,c13@mail.com,DE,Consumer,2022-12-28
14,Customer_14,c14@mail.com,CA,Consumer,2021-11-12
15,Customer_15,c15@mail.com,DE,Consumer,2021-03-10
16,Customer_16,c16@mail.com,DE,Corporate,2022-11-10
17,Customer_17,c17@mail.com,,Consumer,2021-01-04
18,Customer_18,c18@mail.com,US,Consumer,2021-02-02
19,Customer_19,c19@mail.com,DE,Consumer,2020-01-31
20,Customer_20,c20@mail.com,DE,Consumer,2020-02-01
21,Customer_21,c21@mail.com,US,Consumer,2020-12-18
22,Customer_22,c22@mail.com,US,Consumer,2020-08-16
23,Customer_23,c23@mail.com,CA,Corporate,2022-03-28
24,Customer_24,c24@mail.com,US,Corporate,2021-10-22
25,Customer_25,c25@mail.com,US,Consumer,2021-02-16
26,Customer_26,c26@mail.com,FR,Corporate,2021-11-10
27,Customer_27,c27@mail.com,FR,Consumer,2021-12-30
28,Customer_28,c28@mail.com,UK,Consumer,2022-09-18
29,Customer_29,c29@mail.com,US,Consumer,2021-08-15
30,Customer_30,c30@mail.com,US,Home Office,2021-11-27
31,Customer_31,c31@mail.com,US,Consumer,2021-12-02
32,Customer_32,c32@mail.com,DE,Corporate,2020-03-22
33,Customer_33,c33@mail.com,US,Home Office,2021-05-19
34,Customer_34,c34@mail.com,UK,Home Office,2020-01-19
35,Customer_35,c35@mail.com,FR,Corporate,2020-01-28
36,Customer_36,c36@mail.com,US,Consumer,2020-09-24
37,Customer_37,c37@mail.com,FR,Home Office,2021-02-18
38,Customer_38,c38@mail.com,FR,Corporate,2021-09-26
39,Customer_39,c39@mail.com,UK,Consumer,2020-01-12
40,Customer_40,c40@mail.com,US,Home Office,2022-06-27
41,Customer_41,c41@mail.com,UK,Home Office,2020-06-07
42,Customer_42,c42@mail.com,US,Consumer,2020-06-29
43,Customer_43,c43@mail.com,UK,Consumer,2020-11-11
44,Customer_44,c44@mail.com,FR,Consumer,2020-10-21
45,Customer_45,c45@mail.com,FR,Corporate,2020-11-28
46,Customer_46,c46@mail.com,US,Consumer,2021-02-22
47,Customer_47,c47@mail.com,UK,Home Office,2022-10-11
48,Customer_48,c48@mail.com,FR,Corporate,2022-06-27
49,Customer_49,c49@mail.com,US,Consumer,2021-06-17
50,Customer_50,c50@mail.com,FR,Home Office,2020-12-16
51,Customer_51,c51@mail.com,US,Consumer,2022-03-23
52,Customer_52,c52@mail.com,UK,Corporate,2020-02-24
53,Customer_53,c53@mail.com,UK,Consumer,2020-09-15
54,Customer_54,c54@mail.com,CA,Consumer,2022-05-26
55,Customer_55,c55@mail.com,US,Corporate,2021-09-02
56,Customer_56,c56@mail.com,US,Consumer,2022-01-09
57,Customer_57,c57@mail.com,CA,Corporate,2022-09-24
58,Customer_58,c58@mail.com,FR,Corporate,2021-01-04
59,Customer_59,c59@mail.com,US,Consumer,2020-11-04
60,Customer_60,c60@mail.com,CA,Consumer,2022-01-19
61,Customer_61,c61@mail.com,US,Corporate,2022-07-15
62,Customer_62,c62@mail.com,US,Consumer,2021-05-03
63,Customer_63,c63@mail.com,FR,Consumer,2022-01-30
64,Customer_64,c64@mail.com,FR,Consumer,2022-12-10
65,Customer_65,c65@mail.com,DE,Consumer,2022-04-28
66,Customer_66,c66@mail.com,US,Home Office,2022-07-01
67,Customer_67,c67@mail.com,UK,Corporate,2021-08-11
68,Customer_68,c68@mail.com,DE,Consumer,2022-05-21
69,Customer_69,c69@mail.com,FR,Consumer,2020-10-25
70,Customer_70,c70@mail.com,US,Home Office,2021-12-16
71,Customer_71,c71@mail.com,UK,Home Office,2022-03-13
72,Customer_72,c72@mail.com,FR,Corporate,2021-09-17
73,Customer_73,c73@mail.com,US,Consumer,2020-11-20
74,Customer_74,c74@mail.com,DE,Corporate,2020-08-31
75,Customer_75,c75@mail.com,UK,Consumer,2022-07-05
76,Customer_76,c76@mail.com,DE,Consumer,2022-01-02
77,Customer_77,c77@mail.com,US,Corporate,2021-10-13
78,Customer_78,c78@mail.com,UK,Corporate,2022-06-13
79,Customer_79,c79@mail.com,FR,Consumer,2020-12-19
80,Customer_80,c80@mail.com,DE,Consumer,2021-07-20
81,Customer_81,c81@mail.com,UK,Corporate,2021-01-04
82,Customer_82,c82@mail.com,US,Corporate,2021-09-07
